Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
MC Juneja,2013-2013,7,7,0,125,49,17.85,128,97.65,0,0,0,11,1,
BB Samantray,2012-2013,9,8,3,125,55,25,113,110.61,0,1,1,13,2,
MM Sharma,2013-2025,120,33,15,125,21*,6.94,136,91.91,0,0,5,8,4,
B Lee,2008-2013,38,19,9,124,25,12.4,97,127.83,0,0,1,8,8,
Harpreet Singh,2010-2024,9,8,1,123,41,17.57,119,103.36,0,0,0,10,3,
AB McDonald,2009-2013,11,9,4,123,33*,24.6,100,123,0,0,1,9,4,
NK Patel,2008-2009,9,6,2,121,57,30.25,119,101.68,0,1,0,14,1,
DL Vettori,2008-2012,34,17,9,121,29,15.12,113,107.07,0,0,1,11,2,
AC Blizzard,2011-2012,7,7,0,120,51,17.14,90,133.33,0,1,1,21,2,
TG Southee,2011-2023,54,20,7,120,36*,9.23,107,112.14,0,0,3,8,4,
RJ Harris,2009-2013,37,21,9,117,17,9.75,112,104.46,0,0,2,6,3,
Z Khan,2008-2017,100,32,18,117,23*,8.35,141,82.97,0,0,5,11,2,
Misbah-ul-Haq,2008-2008,8,8,1,117,47*,16.71,81,144.44,0,0,2,10,6,
Mohammed Siraj,2017-2026,125,28,16,117,14*,9.75,139,84.17,0,0,3,11,4,
KK Cooper,2012-2014,25,14,5,116,32,12.88,68,170.58,0,0,1,9,8,
Aman Hakim Khan,2022-2023,12,10,1,115,51,12.77,104,110.57,0,1,1,8,6,
Mohammed Shami,2013-2026,132,36,17,115,21,6.05,111,103.6,0,0,6,9,5,
DJM Short,2018-2018,7,7,0,115,44,16.42,99,116.16,0,0,0,11,5,
M Kartik,2008-2014,56,16,9,113,21,16.14,108,104.62,0,0,1,7,1,
DJ Harris,2012-2012,4,4,0,111,47,27.75,101,109.9,0,0,0,11,5,
MA Starc,2014-2026,58,25,13,111,29,9.25,121,91.73,0,0,4,11,0,
JDP Oram,2008-2013,18,12,4,106,41*,13.25,108,98.14,0,0,1,6,5,
LJ Wright,2012-2013,7,6,1,106,44,21.2,60,176.66,0,0,0,16,3,
DS Kulkarni,2008-2021,92,23,14,104,28*,11.55,108,96.29,0,0,0,7,2,
RJ Quiney,2009-2009,7,7,0,103,51,14.71,102,100.98,0,1,0,12,3,
SD Chitnis,2008-2012,11,8,1,99,38,14.14,89,111.23,0,0,0,10,2,
MS Gony,2008-2017,44,17,7,99,42,9.9,71,139.43,0,0,3,6,8,
MJ Clarke,2012-2012,6,6,0,98,41,16.33,94,104.25,0,0,0,12,0,
CJ Ferguson,2011-2012,9,8,2,98,23,16.33,117,83.76,0,0,0,9,0,
C Bosch,2025-2026,9,6,3,97,32*,32.33,63,153.96,0,0,0,8,5,
PN Mankad,2022-2023,6,6,3,97,64*,32.33,73,132.87,0,1,1,13,2,
TA Boult,2015-2026,125,31,21,93,17*,9.3,85,109.41,0,0,3,5,4,
Himmat Singh,2025-2026,9,5,2,92,40*,30.66,69,133.33,0,0,0,5,5,
DJ Jacobs,2011-2012,7,7,0,92,32,13.14,98,93.87,0,0,1,10,4,
PHKD Mendis,2025-2025,5,5,2,92,32*,30.66,69,133.33,0,0,1,7,2,
JDS Neesham,2014-2022,14,10,1,92,22,10.22,93,98.92,0,0,2,6,2,
PR Shah,2008-2011,16,10,2,92,29,11.5,91,101.09,0,0,1,9,2,
RT Ponting,2008-2013,10,9,0,91,28,10.11,128,71.09,0,0,3,5,2,
S Rana,2011-2014,11,8,4,91,19*,22.75,81,112.34,0,0,0,9,1,
AJ Tye,2017-2022,30,13,4,91,25,10.11,76,119.73,0,0,2,6,5,
AD Nath,2016-2019,14,10,0,90,24,9,98,91.83,0,0,1,7,2,
PR Veer,2026-2026,6,5,3,90,43,45,67,134.32,0,0,0,10,3,
MD Shanaka,2023-2026,10,8,1,89,29,12.71,72,123.61,0,0,1,5,5,
Iqbal Abdulla,2008-2017,49,13,11,88,33*,44,84,104.76,0,0,1,9,1,
SL Malinga,2009-2019,122,25,9,88,17,5.5,99,88.88,0,0,6,6,5,
Ankit Sharma,2012-2018,22,10,3,87,30,12.42,67,129.85,0,0,1,7,4,
AP Majumdar,2012-2012,4,4,0,87,31,21.75,76,114.47,0,0,0,7,2,
MJ McClenaghan,2015-2019,56,24,11,85,20,6.53,70,121.42,0,0,6,5,7,
RE Levi,2012-2012,6,6,0,83,50,13.83,73,113.69,0,1,2,10,4,
NM Coulter-Nile,2013-2022,39,17,6,82,24*,7.45,72,113.88,0,0,0,7,4,
LA Carseldine,2009-2009,5,5,1,81,39,20.25,68,119.11,0,0,0,11,0,
PW Hasaranga,2021-2025,37,19,4,81,18,5.4,88,92.04,0,0,5,7,1,
CJ Jordan,2016-2023,34,13,3,81,30,8.1,77,105.19,0,0,1,3,3,
Shahid Afridi,2008-2008,10,9,1,81,33,10.12,46,176.08,0,0,1,7,6,
WPUJC Vaas,2008-2010,13,11,3,81,20,10.12,73,110.95,0,0,3,2,3,
RV Patel,2021-2023,9,7,2,80,23,16,73,109.58,0,0,0,6,2,
AD Mascarenhas,2008-2013,13,11,2,79,27,8.77,78,101.28,0,0,2,5,1,
JR Philippe,2020-2020,5,5,1,78,33,19.5,77,101.29,0,0,1,9,1,
AS Roy,2019-2026,26,14,6,78,29*,9.75,64,121.87,0,0,5,6,2,
CR Woakes,2017-2021,21,12,6,78,18,13,77,101.29,0,0,0,7,2,
KA Jamieson,2021-2026,15,10,5,77,16*,15.4,73,105.47,0,0,0,6,4,
B Akhil,2008-2011,15,11,5,76,27*,12.66,55,138.18,0,0,2,5,5,
IR Jaggi,2011-2017,7,7,2,76,28,15.2,97,78.35,0,0,0,6,0,
TR Birt,2011-2011,5,5,0,75,27,15,58,129.31,0,0,0,9,2,
JJ Bumrah,2013-2026,158,33,25,75,16*,9.37,86,87.2,0,0,5,6,1,
A Kamboj,2024-2026,25,10,6,74,19*,18.5,52,142.3,0,0,1,5,4,
M Klinger,2011-2011,4,4,0,73,29,18.25,77,94.8,0,0,0,9,0,
RR Sarwan,2008-2008,4,4,0,73,31,18.25,75,97.33,0,0,0,6,1,
LH Ferguson,2017-2026,52,11,8,72,24*,24,47,153.19,0,0,1,7,2,
SK Rasheed,2025-2025,5,5,0,71,27,14.2,63,112.69,0,0,1,9,2,
Vishnu Vinod,2017-2026,7,7,1,71,30,11.83,65,109.23,0,0,0,4,4,
J Suchith,2015-2022,22,10,6,70,34*,17.5,61,114.75,0,0,1,6,3,
AA Bilakhia,2009-2010,7,7,2,69,22,13.8,85,81.17,0,0,0,5,0,
Vivrant Sharma,2023-2023,3,1,0,69,69,69,47,146.8,0,1,0,9,2,
Avesh Khan,2017-2026,83,18,14,68,19*,17,43,158.13,0,0,1,7,4,
RR Powar,2008-2012,27,10,7,67,28*,22.33,64,104.68,0,0,1,6,1,
R Sharma,2010-2014,44,20,6,66,14*,4.71,75,88,0,0,8,5,3,
HR Shokeen,2022-2023,13,6,3,66,25,22,65,101.53,0,0,0,9,0,
WD Parnell,2011-2023,33,14,4,65,16,6.5,80,81.25,0,0,0,4,1,
Mohammad Hafeez,2008-2008,8,8,1,64,16,9.14,83,77.1,0,0,0,7,2,
Anirudh Singh,2010-2010,5,4,0,63,40,15.75,66,95.45,0,0,1,6,1,
N Sindhu,2026-2026,8,5,0,63,22,12.6,50,126,0,0,0,7,2,
A Flintoff,2009-2009,3,3,1,62,24,31,53,116.98,0,0,0,5,2,
SP Jackson,2017-2022,9,8,2,61,16,10.16,57,107.01,0,0,1,5,1,
Sandeep Sharma,2013-2026,143,28,22,60,9,10,75,80,0,0,4,4,0,
S Aravind,2011-2017,38,12,8,59,14*,14.75,57,103.5,0,0,2,7,0,
Harshit Rana,2022-2025,34,10,4,59,34,9.83,56,105.35,0,0,1,5,3,
MG Bracewell,2023-2023,5,4,2,58,26,29,47,123.4,0,0,0,6,1,
I Sharma,2008-2025,117,28,22,57,10*,9.5,69,82.6,0,0,1,4,2,
WA Mota,2008-2009,12,8,2,56,25,9.33,75,74.66,0,0,0,2,0,
M Rawat,2008-2013,18,12,7,55,23*,11,69,79.71,0,0,1,4,1,
TU Deshpande,2020-2026,53,10,6,54,25,13.5,36,150,0,0,0,2,4,
PVD Chameera,2022-2026,20,12,8,53,17,13.25,45,117.77,0,0,2,3,3,
A Chopra,2008-2009,7,6,0,53,24,8.83,71,74.64,0,0,0,7,0,
Shivang Kumar,2026-2026,13,6,0,53,27,8.83,46,115.21,0,0,0,6,1,
DJ Willey,2018-2023,11,5,3,53,20*,26.5,62,85.48,0,0,1,7,0,
Shoaib Malik,2008-2008,7,5,1,52,24,13,47,110.63,0,0,0,5,0,
RP Singh,2008-2016,82,30,15,52,10,3.46,76,68.42,0,0,5,2,1,
KB Arun Karthik,2010-2013,17,8,3,51,19*,10.2,51,100,0,0,1,4,1,
R Rampaul,2013-2014,12,7,2,51,23*,10.2,50,102,0,0,3,3,2,
Shivam Mavi,2018-2022,32,12,3,51,20,5.66,56,91.07,0,0,3,4,2,
OF Smith,2022-2022,6,6,3,51,25*,17,44,115.9,0,0,1,1,5,
Swapnil Singh,2016-2024,14,9,4,51,15*,10.2,45,113.33,0,0,2,3,3,
VR Aaron,2011-2022,52,13,8,50,17*,10,72,69.44,0,0,1,2,2,
RV Gomez,2011-2013,13,9,4,50,26*,10,51,98.03,0,0,3,5,1,
SB Bangar,2008-2009,12,8,1,49,17*,7,58,84.48,0,0,1,1,3,
A Nortje,2020-2026,49,18,11,49,23*,7,50,98,0,0,3,6,0,
AG Paunikar,2010-2011,5,5,0,49,20,9.8,58,84.48,0,0,1,9,0,
AS Yadav,2008-2008,8,6,1,49,16,9.8,39,125.64,0,0,1,5,2,
T Kohler-Cadmore,2024-2024,4,3,0,48,20,16,54,88.88,0,0,0,7,1,
M Markande,2018-2026,40,11,8,48,18*,16,42,114.28,0,0,0,5,1,
Yashpal Singh,2009-2009,8,4,0,47,20,11.75,66,71.21,0,0,0,5,0,
SU Parakh,2026-2026,4,4,0,46,24,11.5,33,139.39,0,0,1,5,2,
Ravi Bishnoi,2020-2026,86,20,8,45,13,3.75,69,65.21,0,0,4,2,2,
TL Seifert,2021-2026,6,6,0,45,21,7.5,41,109.75,0,0,2,6,1,
D Pretorius,2022-2023,7,5,1,44,22,11,28,157.14,0,0,1,3,3,
DR Sams,2020-2022,16,13,4,44,15,4.88,44,100,0,0,3,1,3,
Rasikh Salam,2019-2026,25,8,3,43,10,8.6,42,102.38,0,0,0,5,0,
Sunny Singh,2011-2011,6,5,1,43,20,10.75,31,138.7,0,0,0,6,1,
AB Barath,2010-2010,3,3,1,42,33,21,42,100,0,0,0,5,1,
SK Trivedi,2008-2013,76,15,8,42,9,6,59,71.18,0,0,1,3,1,
A Nehra,2008-2017,88,22,15,41,22*,5.85,62,66.12,0,0,5,3,1,
XC Bartlett,2025-2026,13,4,2,40,18*,20,28,142.85,0,0,1,3,2,
BR Dunk,2014-2014,3,3,0,40,20,13.33,35,114.28,0,0,0,7,0,
LPC Silva,2008-2008,3,3,1,40,23*,20,26,153.84,0,0,1,5,1,
J Yadav,2015-2023,20,5,1,40,23,10,36,111.11,0,0,0,2,1,
S Nadeem,2011-2021,72,22,8,39,6*,2.78,87,44.82,0,0,6,2,0,
MM Patel,2008-2017,63,15,9,39,23*,6.5,41,95.12,0,0,5,5,0,
AUK Pathan,2011-2012,8,7,2,39,14,7.8,23,169.56,0,0,2,5,2,
DJ Thornely,2008-2008,6,4,2,39,30,19.5,53,73.58,0,0,0,2,2,
Umar Gul,2008-2008,6,4,1,39,24,13,19,205.26,0,0,0,1,5,
YS Chahal,2013-2026,188,20,13,37,8*,5.28,86,43.02,0,0,1,0,0,
S Narwal,2010-2013,7,4,1,37,23,12.33,27,137.03,0,0,1,6,0,
AN Ahmed,2010-2015,17,6,5,36,18*,36,26,138.46,0,0,0,4,1,
Anureet Singh,2009-2018,23,8,4,36,15,9,47,76.59,0,0,2,2,1,
L Balaji,2008-2014,73,15,7,36,15,4.5,49,73.46,0,0,5,2,1,
Joginder Sharma,2008-2011,16,6,2,36,16*,9,30,120,0,0,2,1,2,
KW Richardson,2013-2021,15,4,1,36,26,12,39,92.3,0,0,0,2,1,
Sohail Tanvir,2008-2008,11,5,2,36,13,12,29,124.13,0,0,0,3,1,
M Ashwin,2016-2023,44,13,4,35,9,3.88,50,70,0,0,2,2,1,
RA Bawa,2022-2026,8,4,1,35,16,11.66,32,109.37,0,0,1,2,0,
A Kumble,2008-2010,42,17,14,35,8,11.66,47,74.46,0,0,0,3,0,
B Sumanth,2010-2010,5,4,3,35,16,35,37,94.59,0,0,0,3,0,
AP Dole,2010-2010,3,2,0,34,30,17,22,154.54,0,0,0,3,1,
A Mithun,2009-2013,16,8,3,34,11,6.8,26,130.76,0,0,1,4,1,
L Ronchi,2008-2009,5,5,0,34,13,6.8,34,100,0,0,1,6,1,
S Sreesanth,2008-2013,44,14,10,34,15*,8.5,55,61.81,0,0,3,6,0,
Imran Tahir,2014-2021,59,9,5,33,13*,8.25,37,89.18,0,0,0,5,0,
NA Saini,2019-2026,34,7,3,33,12*,8.25,37,89.18,0,0,0,3,0,
D Salunkhe,2008-2008,6,3,1,33,26*,16.5,24,137.5,0,0,0,5,0,
Arshdeep Singh,2019-2026,96,15,9,32,10*,5.33,47,68.08,0,0,3,4,0,
Basil Thampi,2017-2022,25,8,7,32,13*,32,35,91.42,0,0,0,1,1,
AT Carey,2020-2020,3,3,1,32,14*,16,29,110.34,0,0,0,0,1,
RJ Peterson,2012-2012,5,5,2,32,16*,10.66,30,106.66,0,0,1,3,1,
G Coetzee,2024-2025,14,7,1,31,12,5.16,33,93.93,0,0,1,2,2,
GF Linde,2026-2026,3,3,0,31,16,10.33,21,147.61,0,0,0,6,0,
NS Naik,2016-2020,4,4,0,31,22,7.75,50,62,0,0,0,2,0,
Noor Ahmad,2023-2026,51,17,6,31,8,2.81,58,53.44,0,0,2,2,1,
S Sriram,2010-2011,2,2,0,31,27,15.5,36,86.11,0,0,0,3,0,
T Taibu,2008-2008,3,3,0,31,15,10.33,26,119.23,0,0,0,3,0,
CV Varun,2019-2026,95,15,9,31,10*,5.16,53,58.49,0,0,2,3,0,
Akshat Raghuwanshi,2026-2026,3,2,0,29,18,14.5,25,116,0,0,0,1,1,
J Syed Mohammad,2011-2013,11,5,3,29,13*,14.5,26,111.53,0,0,0,4,0,
VH Zol,2014-2014,3,2,0,29,16,14.5,26,111.53,0,0,0,3,1,
SB Jakati,2009-2017,59,8,7,28,13,28,29,96.55,0,0,0,3,0,
AS Joseph,2019-2024,22,7,6,27,15*,27,32,84.37,0,0,1,3,0,
AB Dinda,2008-2017,78,17,7,26,7,2.6,48,54.16,0,0,6,2,0,
JM Kemp,2010-2010,5,2,0,26,22,13,24,108.33,0,0,0,1,1,
AA Kulkarni,2024-2026,4,4,0,26,17,6.5,33,78.78,0,0,2,3,0,
NL McCullum,2011-2011,2,2,1,26,15,26,22,118.18,0,0,0,0,1,
DJ Malan,2021-2021,1,1,0,26,26,26,26,100,0,0,0,1,1,
AS Rajpoot,2013-2020,29,7,2,26,8,5.2,41,63.41,0,0,0,2,1,
PJ Sangwan,2008-2022,42,15,7,26,6*,3.25,44,59.09,0,0,4,1,0,
Akash Deep,2022-2025,14,5,2,25,17,8.33,14,178.57,0,0,2,2,2,
S Chanderpaul,2008-2008,3,3,0,25,16,8.33,31,80.64,0,0,0,4,0,
A Choudhary,2017-2017,5,3,2,25,15*,25,20,125,0,0,0,1,1,
AF Milne,2016-2026,11,7,3,25,15,6.25,31,80.64,0,0,1,0,1,
Mohsin Khan,2022-2026,31,7,2,25,13*,5,28,89.28,0,0,3,2,1,
Sanvir Singh,2023-2024,6,5,3,25,8*,12.5,21,119.04,0,0,1,2,1,
KC Cariappa,2015-2019,11,5,2,24,12*,8,21,114.28,0,0,0,0,2,
ER Dwivedi,2016-2016,4,2,0,24,19,12,14,171.42,0,0,0,2,2,
Kartik Tyagi,2020-2026,34,10,3,24,7,3.42,26,92.3,0,0,2,2,1,
MA Khote,2008-2008,4,3,1,24,9,12,22,109.09,0,0,0,2,1,
TK Kotian,2024-2024,1,1,0,24,24,24,31,77.41,0,0,0,3,0,
AJ Turner,2019-2024,6,6,1,24,16,4.8,28,85.71,0,0,3,0,2,
J Arunkumar,2008-2008,3,3,0,23,22,7.66,23,100,0,0,1,5,0,
P Dubey,2020-2025,5,2,1,23,16,23,33,69.69,0,0,0,2,0,
BMAJ Mendis,2013-2013,3,3,0,23,12,7.66,27,85.18,0,0,1,0,0,
SW Tait,2010-2013,21,5,2,23,11,7.66,26,88.46,0,0,1,1,1,
Umran Malik,2021-2024,26,6,4,23,19*,11.5,16,143.75,0,0,2,1,2,
SA Abbott,2015-2022,3,3,0,22,14,7.33,18,122.22,0,0,0,1,2,
GB Hogg,2012-2016,21,6,3,22,13,7.33,22,100,0,0,0,1,0,
KL Nagarkoti,2020-2022,12,7,3,22,8*,5.5,33,66.66,0,0,2,1,0,
AU Rashid,2021-2023,3,2,0,22,18,11,16,137.5,0,0,0,2,1,
Sediqullah Atal,2025-2025,1,1,0,22,22,22,16,137.5,0,0,0,0,2,
HE van der Dussen,2022-2022,3,3,1,22,12*,11,24,91.66,0,0,0,2,0,
Yudhvir Singh,2023-2025,9,4,0,22,14,5.5,16,137.5,0,0,1,1,2,
DE Bollinger,2010-2012,27,4,3,21,16*,21,23,91.3,0,0,0,1,1,
AJ Hosein,2023-2026,8,4,4,21,16*,-,13,161.53,0,0,0,1,1,
B Indrajith,2022-2022,3,3,0,21,15,7,30,70,0,0,1,2,0,
K Kushagra,2024-2026,5,4,0,21,18,5.25,21,100,0,0,1,3,0,
M Tiwari,2025-2026,4,2,1,21,18*,21,12,175,0,0,0,2,1,
S Kaul,2013-2022,55,12,8,20,7*,5,36,55.55,0,0,2,1,0,
NJ Maddinson,2014-2015,3,3,0,20,12,6.66,21,95.23,0,0,0,4,0,
BKG Mendis,2025-2025,1,1,0,20,20,20,10,200,0,0,0,1,2,
M Muralidaran,2008-2014,66,9,3,20,6,3.33,30,66.66,0,0,2,1,0,
RR Raje,2008-2009,10,5,4,20,11*,20,18,111.11,0,0,0,1,1,
C Sakariya,2021-2025,20,8,2,20,7,3.33,31,64.51,0,0,1,3,0,
AC Thomas,2011-2012,15,4,2,20,12,10,19,105.26,0,0,0,1,1,
R Bishnoi,2009-2009,3,3,0,19,18,6.33,17,111.76,0,0,1,1,2,
NT Ellis,2021-2025,17,5,1,19,12,4.75,25,76,0,0,2,0,1,
Y Gnaneswara Rao,2011-2011,2,1,0,19,19,19,17,111.76,0,0,0,3,0,
Gulbadin Naib,2024-2024,2,1,0,19,19,19,15,126.66,0,0,0,1,1,
JR Hazlewood,2020-2026,52,8,7,19,7*,19,30,63.33,0,0,1,1,0,
DR Martyn,2010-2010,1,1,0,19,19,19,24,79.16,0,0,0,1,0,
A Mukund,2008-2013,3,2,0,19,19,9.5,22,86.36,0,0,1,1,0,
P Ray Barman,2019-2019,1,1,0,19,19,19,24,79.16,0,0,0,2,0,
P Sahu,2016-2016,5,2,1,19,18*,19,13,146.15,0,0,0,1,1,
R Shukla,2012-2014,7,4,3,19,14,19,23,82.6,0,0,0,2,0,
R Smaran,2026-2026,6,4,1,19,9,6.33,25,76,0,0,0,3,0,
T Banton,2020-2020,2,2,0,18,10,9,20,90,0,0,0,1,1,
SD Chauhan,2024-2024,3,3,0,18,9,6,15,120,0,0,1,1,1,
BJ Haddin,2011-2011,1,1,0,18,18,18,11,163.63,0,0,0,2,1,
Harmeet Singh,2009-2013,27,6,2,18,14,4.5,12,150,0,0,2,3,0,
DS Lehmann,2008-2008,2,2,0,18,17,9,18,100,0,0,0,3,0,
Naveen-ul-Haq,2023-2024,18,6,5,18,13,18,25,72,0,0,0,2,0,
KMA Paul,2019-2019,8,6,1,18,7,3.6,24,75,0,0,2,1,1,
R Sai Kishore,2022-2026,28,5,1,18,13,4.5,16,112.5,0,0,0,0,2,
Sumit Kumar,2024-2024,4,3,1,18,9*,9,24,75,0,0,0,2,1,
PV Tambe,2013-2016,33,6,4,18,7*,9,39,46.15,0,0,0,1,0,
AS Tendulkar,2023-2026,6,2,1,18,13,18,14,128.57,0,0,0,0,1,
JJ van der Wath,2011-2011,3,3,1,18,14*,9,16,112.5,0,0,1,1,1,
Parvez Rasool,2013-2016,11,5,3,17,10,8.5,20,85,0,0,0,1,0,
JA Richardson,2021-2024,4,3,0,17,15,5.66,26,65.38,0,0,1,2,0,
M Theekshana,2022-2025,38,6,3,17,7*,5.66,34,50,0,0,1,0,1,
YV Dhull,2023-2023,4,3,0,16,13,5.33,23,69.56,0,0,0,1,0,
CK Kapugedera,2008-2008,5,3,0,16,8,5.33,23,69.56,0,0,1,0,0,
PP Ojha,2008-2015,92,23,11,16,3,1.33,45,35.55,0,0,6,0,0,
KS Sharma,2022-2023,3,3,0,16,9,5.33,25,64,0,0,0,1,0,
V Vyshak,2023-2026,26,6,4,16,13*,8,16,100,0,0,2,0,1,
SD Lad,2019-2019,1,1,0,15,15,15,13,115.38,0,0,0,1,1,
C Madan,2010-2010,1,1,0,15,15,15,19,78.94,0,0,0,3,0,
VY Mahesh,2008-2012,18,5,3,15,6*,7.5,27,55.55,0,0,0,0,0,
GR Napier,2009-2009,1,1,0,15,15,15,16,93.75,0,0,0,1,0,
JL Pattinson,2020-2020,10,2,1,15,11,15,13,115.38,0,0,0,2,0,
M Prasidh Krishna,2018-2026,78,11,8,15,6*,5,31,48.38,0,0,2,1,0,
I Udana,2020-2020,10,4,1,15,10*,5,11,136.36,0,0,1,1,1,
Virat Singh,2021-2021,3,2,0,15,11,7.5,26,57.69,0,0,0,1,0,
A Zampa,2016-2025,22,5,0,15,7,3,24,62.5,0,0,1,1,0,
FA Allen,2021-2022,5,4,2,14,8,7,19,73.68,0,0,0,1,0,
Auqib Nabi,2026-2026,5,2,1,14,10*,14,4,350,0,0,0,2,1,
F Behardien,2016-2016,3,3,1,14,9*,7,13,107.69,0,0,1,2,0,
MP Breetzke,2025-2025,1,1,0,14,14,14,12,116.66,0,0,0,1,1,
N Burger,2024-2026,19,3,2,14,10*,14,9,155.55,0,0,0,0,1,
MDKJ Perera,2013-2013,2,2,0,14,14,7,13,107.69,0,0,1,3,0,
KJ Abbott,2016-2016,5,3,2,13,12*,13,8,162.5,0,0,1,0,1,
S Badree,2013-2017,12,5,0,13,8,2.6,23,56.52,0,0,2,0,0,
HS Dubey,2025-2026,11,5,3,13,9*,6.5,9,144.44,0,0,1,2,0,
Mustafizur Rahman,2016-2025,60,10,8,13,8*,6.5,24,54.16,0,0,1,0,1,
DT Patil,2008-2008,2,2,0,13,9,6.5,13,100,0,0,0,1,0,
DR Shorey,2018-2019,2,2,0,13,8,6.5,17,76.47,0,0,0,0,1,
AR Bawne,2017-2017,1,1,1,12,12*,-,12,100,0,0,0,1,0,
DAJ Bracewell,2012-2012,1,1,1,12,12*,-,9,133.33,0,0,0,1,0,
AA Chavan,2011-2013,13,3,1,12,7*,6,11,109.09,0,0,0,2,0,
T Dahiya,2026-2026,2,2,0,12,11,6,15,80,0,0,0,2,0,
Karanveer Singh,2014-2015,9,4,3,12,5*,12,17,70.58,0,0,0,1,0,
K Kartikeya,2022-2025,16,4,0,12,6,3,17,70.58,0,0,0,1,0,
R Minz,2025-2026,4,4,1,12,5,4,19,63.15,0,0,0,1,0,
Mujeeb Ur Rahman,2018-2025,20,7,4,12,10*,4,15,80,0,0,2,2,0,
DG Nalkande,2022-2024,6,2,0,12,12,6,12,100,0,0,1,0,1,
T Thushara,2009-2010,6,4,2,12,8,6,18,66.66,0,0,0,0,0,
K Upadhyay,2012-2013,3,2,2,12,11*,-,9,133.33,0,0,0,0,1,
MA Wood,2018-2023,5,3,1,12,10*,6,8,150,0,0,0,1,1,
T Henderson,2009-2009,2,2,0,11,11,5.5,16,68.75,0,0,1,0,1,
T Kohli,2008-2009,4,4,1,11,7,3.66,19,57.89,0,0,0,0,1,
M Ntini,2008-2008,9,2,1,11,11,11,18,61.11,0,0,0,2,0,
DNT Zoysa,2008-2008,3,2,1,11,10*,11,9,122.22,0,0,0,1,0,
VG Arora,2022-2026,43,12,8,10,2*,2.5,27,37.03,0,0,3,0,0,
RK Bhui,2018-2024,4,4,0,10,7,2.5,26,38.46,0,0,2,0,0,
D du Preez,2009-2009,2,1,0,10,10,10,13,76.92,0,0,0,0,0,
Krish Bhagat,2026-2026,3,2,1,10,7,10,21,47.61,0,0,0,0,0,
Mukesh Kumar,2023-2026,42,5,4,10,6*,10,18,55.55,0,0,0,0,0,
AG Murtaza,2010-2013,12,3,2,10,5,10,14,71.42,0,0,0,1,0,
TD Paine,2011-2011,2,2,0,10,8,5,26,38.46,0,0,0,0,0,
KAJ Roach,2010-2010,2,1,0,10,10,10,9,111.11,0,0,0,1,0,
JE Root,2023-2023,3,1,0,10,10,10,15,66.66,0,0,0,1,0,
SMSM Senanayake,2013-2013,8,4,3,10,7*,10,17,58.82,0,0,0,0,0,
Simarjeet Singh,2022-2025,14,6,3,10,3*,3.33,15,66.66,0,0,2,0,0,
BB Sran,2015-2019,24,9,8,10,3*,10,14,71.42,0,0,0,0,0,
X Thalaivan Sargunam,2013-2013,1,1,0,10,10,10,17,58.82,0,0,0,0,0,
J Theron,2010-2015,10,4,2,10,7*,5,12,83.33,0,0,1,1,0,
SM Harwood,2009-2009,3,2,2,9,6*,-,14,64.28,0,0,0,0,0,
PWA Mulder,2025-2025,1,1,0,9,9,9,11,81.81,0,0,0,1,0,
AA Noffke,2008-2008,1,1,0,9,9,9,10,90,0,0,0,1,0,
L Wood,2024-2024,2,1,1,9,9*,-,3,300,0,0,0,0,1,
P Chopra,2018-2019,2,1,0,8,8,8,6,133.33,0,0,0,2,0,
Jaskaran Singh,2009-2010,8,5,4,8,4*,8,11,72.72,0,0,0,0,0,
SH Johnson,2024-2026,12,6,5,8,5*,8,12,66.66,0,0,1,1,0,
CK Langeveldt,2009-2011,7,2,0,8,8,4,9,88.88,0,0,1,0,1,
OC McCoy,2022-2023,8,1,0,8,8,8,5,160,0,0,0,0,1,
CJ McKay,2012-2012,2,1,0,8,8,8,15,53.33,0,0,0,0,0,
A Madhwal,2023-2025,17,2,2,8,4*,-,14,57.14,0,0,0,0,0,
KT Maphaka,2024-2025,4,1,1,8,8*,-,2,400,0,0,0,2,0,
TS Mills,2017-2022,10,5,1,8,6,2,14,57.14,0,0,2,0,1,
Mukesh Choudhary,2022-2026,24,3,2,8,4,8,8,100,0,0,0,1,0,
JPR Scantlebury-Searles,2018-2018,4,2,1,8,6*,8,6,133.33,0,0,0,0,1,
TM Srivastava,2008-2009,7,3,2,8,7,8,11,72.72,0,0,0,0,0,
Ankit Soni,2017-2017,7,3,1,7,7*,3.5,9,77.77,0,0,2,0,1,
UA Birla,2013-2013,2,1,0,7,7,7,14,50,0,0,0,1,0,
AN Ghosh,2009-2009,2,2,0,7,7,3.5,8,87.5,0,0,1,1,0,
MJ Henry,2017-2026,9,2,0,7,5,3.5,10,70,0,0,0,1,0,
I Malhotra,2011-2011,1,1,1,7,7*,-,4,175,0,0,0,1,0,
VS Malik,2009-2014,13,2,1,7,6,7,7,100,0,0,0,1,0,
E Malinga,2025-2026,22,3,2,7,5,7,17,41.17,0,0,0,0,0,
Pankaj Singh,2008-2012,17,5,3,7,4*,3.5,12,58.33,0,0,1,0,0,
LG Pretorius,2025-2026,3,2,0,7,7,3.5,8,87.5,0,0,1,0,0,
IS Sodhi,2018-2019,8,2,0,7,6,3.5,17,41.17,0,0,0,0,0,
V Viyaskanth,2024-2024,3,1,1,7,7*,-,5,140,0,0,0,0,0,
